slm_wavelength,phases,amplitudes
771.8,2.2803565475889287,1.0
772.0,2.89919485670728,1.0
772.2,2.89919485670728,1.0
772.4,2.89919485670728,1.0
772.6,2.89919485670728,1.0
772.8,0.3166932531001838,1.0
773.0,0.3166932531001838,1.0
773.2,0.3166932531001838,1.0
773.4,0.3166932531001838,1.0
773.6,2.2022734328397506,1.0
773.8,2.2022734328397506,1.0
774.0,2.2022734328397506,1.0
774.2,2.2022734328397506,1.0
774.4,1.4847261338452526,1.0
774.6,1.4847261338452526,1.0
774.8,1.4847261338452526,1.0
775.0,1.4847261338452526,1.0
775.2,1.6581103231904475,1.0
775.4,1.6581103231904475,1.0
775.6,1.6581103231904475,1.0
775.8,1.6581103231904475,1.0
776.0,4.069098397538992,1.0
776.2,4.069098397538992,1.0
776.4,4.069098397538992,1.0
776.6,4.069098397538992,1.0
776.8,4.224198766239492,1.0
777.0,4.224198766239492,1.0
777.2,4.224198766239492,1.0
777.4,4.224198766239492,1.0
777.6,2.286065416143261,1.0
777.8,2.286065416143261,1.0
778.0,2.286065416143261,1.0
778.1999999999999,2.286065416143261,1.0
778.4,1.0482619519915286,1.0
778.6,1.0482619519915286,1.0
778.8,1.0482619519915286,1.0
779.0,1.0482619519915286,1.0
779.1999999999999,3.456094401857479,1.0
779.4,3.456094401857479,1.0
779.6,3.456094401857479,1.0
779.8,3.456094401857479,1.0
780.0,2.029785185884101,1.0
780.1999999999999,2.029785185884101,1.0
780.4,2.029785185884101,1.0
780.6,2.029785185884101,1.0
780.8,3.3633609662552146,1.0
781.0,3.3633609662552146,1.0
781.1999999999999,3.3633609662552146,1.0
781.4,3.3633609662552146,1.0
781.6,2.9791330782713885,1.0
781.8,2.9791330782713885,1.0
782.0,2.9791330782713885,1.0
782.1999999999999,2.9791330782713885,1.0
782.4,6.163658440443266,1.0
782.6,6.163658440443266,1.0
782.8,6.163658440443266,1.0
783.0,6.163658440443266,1.0
783.1999999999999,6.21823689249682,1.0
783.4,6.21823689249682,1.0
783.6,6.21823689249682,1.0
783.8,6.21823689249682,1.0
784.0,2.3683436877217705,1.0
784.1999999999999,2.3683436877217705,1.0
784.4,2.3683436877217705,1.0
784.6,2.3683436877217705,1.0
784.8,5.0507912158111985,1.0
785.0,5.0507912158111985,1.0
785.1999999999999,5.0507912158111985,1.0
785.4,5.0507912158111985,1.0
785.6,5.573586017347534,1.0
785.8,5.573586017347534,1.0
786.0,5.573586017347534,1.0
786.1999999999999,5.573586017347534,1.0
786.4,1.2968940895654553,1.0
786.6,1.2968940895654553,1.0
786.8,1.2968940895654553,1.0
787.0,1.2968940895654553,1.0
787.1999999999999,5.405818696251239,1.0
787.4,5.405818696251239,1.0
787.6,5.405818696251239,1.0
787.8,5.405818696251239,1.0
788.0,0.9320837328229787,1.0
788.1999999999999,0.9320837328229787,1.0
788.4,0.9320837328229787,1.0
788.6,0.9320837328229787,1.0
788.8,0.8233982640968135,1.0
789.0,0.8233982640968135,1.0
789.1999999999999,0.8233982640968135,1.0
789.4,0.8233982640968135,1.0
789.6,0.9194301683021386,1.0
789.8,0.9194301683021386,1.0
790.0,0.9194301683021386,1.0
790.1999999999999,0.9194301683021386,1.0
790.4,3.2876779069471773,1.0
790.6,3.2876779069471773,1.0
790.8,3.2876779069471773,1.0
791.0,3.2876779069471773,1.0
791.1999999999999,3.1372859703240077,1.0
791.4,3.1372859703240077,1.0
791.6,3.1372859703240077,1.0
791.8,3.1372859703240077,1.0
792.0,4.398932316537125,1.0
792.1999999999999,4.398932316537125,1.0
792.4,4.398932316537125,1.0
792.6,4.398932316537125,1.0
792.8,5.618515812571499,1.0
793.0,5.618515812571499,1.0
793.1999999999999,5.618515812571499,1.0
793.4,5.618515812571499,1.0
793.6,3.587759664852258,1.0
793.8,3.587759664852258,1.0
794.0,3.587759664852258,1.0
794.1999999999999,3.587759664852258,1.0
794.4,2.5561245333254505,1.0
794.6,2.5561245333254505,1.0
794.8,2.5561245333254505,1.0
795.0,2.5561245333254505,1.0
